City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,62.78,73,100,1.99,PT,1667886144
1,port alfred,-33.5906,26.891,66.18,85,100,5.01,ZA,1667886145
2,victoria,22.2855,114.1577,76.32,81,97,10.0,HK,1667886095
3,sarangani,5.4033,125.4636,83.91,68,95,3.09,PH,1667886145
4,liuzhou,24.3126,109.3892,86.16,31,25,0.38,CN,1667886037
5,albany,42.6001,-73.9662,46.36,61,6,7.0,US,1667886146
6,saint-philippe,-21.3585,55.7679,80.19,76,26,11.34,RE,1667886146
7,poya,-21.35,165.15,76.15,85,97,10.76,NC,1667886146
8,nouakchott,18.0858,-15.9785,64.33,61,52,10.8,MR,1667886024
9,kimbe,-5.5502,150.1429,83.52,80,91,4.56,PG,1667886147
10,hithadhoo,-0.6,73.0833,82.6,74,26,17.76,MV,1667886147
11,ponta delgada,37.7333,-25.6667,63.32,72,40,4.61,PT,1667885943
12,atuona,-9.8,-139.0333,77.05,72,99,12.5,PF,1667886148
13,zalantun,48.0,122.7167,46.9,29,6,4.34,CN,1667886148
14,provideniya,64.3833,-173.3,28.83,95,100,7.52,RU,1667886148
15,constitucion,-35.3333,-72.4167,54.86,77,100,5.75,CL,1667886149
16,kalmunai,7.4167,81.8167,80.2,81,99,10.94,LK,1667886150
17,carnarvon,-24.8667,113.6333,71.83,51,6,14.54,AU,1667886150
18,kuito,-12.3833,16.9333,65.95,76,100,1.59,AO,1667886079
19,kapaa,22.0752,-159.319,80.58,82,100,17.27,US,1667886151
20,port hardy,50.6996,-127.4199,32.18,51,20,20.71,CA,1667886151
21,puntarenas,9.9763,-84.8384,76.24,90,100,4.0,CR,1667885962
22,soria,41.6667,-2.6667,48.11,100,53,3.89,ES,1667885943
23,vaini,-21.2,-175.2,78.96,73,20,8.05,TO,1667886152
24,puerto ayora,-0.7393,-90.3518,66.54,87,87,1.01,EC,1667886152
25,tasiilaq,65.6145,-37.6368,22.78,96,98,2.91,GL,1667886152
26,ushuaia,-54.8,-68.3,53.26,47,0,6.91,AR,1667886153
27,celestun,20.8667,-90.4,76.26,85,16,10.18,MX,1667886087
28,new norfolk,-42.7826,147.0587,80.1,29,65,1.01,AU,1667886153
29,rikitea,-23.1203,-134.9692,74.28,89,93,13.58,PF,1667886154
30,kant,27.8,79.8,81.19,48,1,2.77,IN,1667886154
31,butaritari,3.0707,172.7902,80.91,74,15,6.62,KI,1667886155
32,airai,-8.9266,125.4092,71.17,70,82,1.12,TL,1667886155
33,ponta do sol,32.6667,-17.1,69.01,83,83,5.14,PT,1667886155
34,nueve de julio,-35.4444,-60.8831,56.97,85,0,1.01,AR,1667886155
35,jasper,37.2001,-94.3502,57.87,61,0,8.05,US,1667886156
36,port elizabeth,-33.918,25.5701,67.32,80,0,11.5,ZA,1667886156
37,mul,20.0667,79.6667,82.33,40,32,4.12,IN,1667886156
38,tomatlan,19.9333,-105.25,69.3,95,0,2.46,MX,1667886156
39,biak,-0.9131,122.8766,83.23,70,96,2.21,ID,1667886157
40,placerville,38.7296,-120.7986,42.06,94,100,11.5,US,1667886157
41,hokitika,-42.7167,170.9667,59.49,73,8,6.71,NZ,1667886157
42,lorengau,-2.0226,147.2712,83.86,75,100,5.77,PG,1667886157
43,rawson,-43.3002,-65.1023,62.11,66,100,4.76,AR,1667886147
44,mataura,-46.1927,168.8643,63.86,62,77,5.26,NZ,1667886159
45,caravelas,-17.7125,-39.2481,69.66,75,86,5.12,BR,1667886160
46,saint anthony,45.0205,-93.218,36.55,70,0,10.36,US,1667886160
47,hilo,19.7297,-155.09,74.25,92,75,5.75,US,1667886160
48,port-gentil,-0.7193,8.7815,78.76,94,100,3.44,GA,1667886161
49,castro,-24.7911,-50.0119,47.48,98,23,4.9,BR,1667886161
50,husavik,66.0449,-17.3389,40.39,89,100,15.08,IS,1667886161
51,arman,59.7,150.1667,19.02,87,98,0.81,RU,1667886161
52,sambava,-14.2667,50.1667,77.95,63,99,9.48,MG,1667886162
53,mar del plata,-38.0023,-57.5575,59.88,92,0,11.01,AR,1667886183
54,dauphin,51.1494,-100.0502,23.14,94,100,18.41,CA,1667886183
55,chuy,-33.6971,-53.4616,56.7,89,7,7.16,UY,1667886205
56,upernavik,72.7868,-56.1549,3.47,84,52,7.25,GL,1667886205
57,tiarei,-17.5333,-149.3333,78.01,81,4,7.63,PF,1667886205
58,bluff,-46.6,168.3333,58.37,75,45,16.35,NZ,1667886206
59,hermanus,-34.4187,19.2345,59.81,70,81,4.45,ZA,1667886206
60,ilulissat,69.2167,-51.1,-10.12,86,23,6.67,GL,1667886206
61,sotouboua,8.5667,0.9833,69.4,44,96,0.81,TG,1667886206
62,bathsheba,13.2167,-59.5167,83.01,78,40,17.27,BB,1667886206
63,puerto cabezas,14.0351,-83.3888,73.99,92,34,7.27,NI,1667886207
64,faanui,-16.4833,-151.75,78.3,76,17,8.3,PF,1667886207
65,furano,43.2818,142.4743,45.9,60,68,3.06,JP,1667886207
66,pangnirtung,66.1451,-65.7125,5.32,63,49,5.88,CA,1667886208
67,santa isabel do rio negro,-0.4139,-65.0192,72.82,96,99,1.28,BR,1667886208
68,tessalit,20.1986,1.0114,68.45,20,2,8.48,ML,1667886069
69,punta arenas,-53.15,-70.9167,50.11,66,40,17.27,CL,1667886105
70,vestmanna,62.1564,-7.1664,49.12,87,100,28.77,FO,1667886208
71,marawi,7.9986,124.2928,77.45,82,88,3.4,PH,1667886209
72,padang,-0.9492,100.3543,83.52,73,100,6.13,ID,1667886090
73,timmins,48.4669,-81.3331,28.22,64,100,12.66,CA,1667886209
74,mackay,-21.15,149.2,82.69,62,1,15.37,AU,1667886004
75,bereda,43.2686,-7.5406,55.42,100,99,8.41,ES,1667886210
76,nouadhibou,20.931,-17.0347,69.78,60,20,12.66,MR,1667886211
77,bethel,41.3712,-73.414,51.89,55,0,6.91,US,1667886211
78,iqaluit,63.7506,-68.5145,17.33,61,75,8.05,CA,1667886007
79,anloga,5.7947,0.8973,80.56,79,28,3.49,GH,1667886211
80,ha tinh,18.3333,105.9,78.37,67,20,7.47,VN,1667886057
81,coffs harbour,-30.3,153.1333,71.56,60,75,12.66,AU,1667886017
82,faridkot,30.6667,74.75,82.44,32,0,3.78,IN,1667886212
83,kodiak,57.79,-152.4072,38.71,87,100,12.66,US,1667886213
84,la ronge,55.1001,-105.2842,10.65,79,100,18.41,CA,1667886213
85,vostok,46.4856,135.8833,33.13,56,73,8.43,RU,1667886213
86,yellowknife,62.456,-114.3525,5.56,78,100,2.3,CA,1667886175
87,indramayu,-6.3264,108.32,83.34,67,100,4.16,ID,1667886025
88,cidreira,-30.1811,-50.2056,61.02,82,45,8.34,BR,1667886214
89,shubarshi,48.5872,57.1869,31.62,66,55,7.54,KZ,1667886215
90,shingu,33.7333,135.9833,67.06,49,0,2.57,JP,1667885994
91,waarschoot,51.1533,3.6073,54.1,76,98,19.39,BE,1667886216
92,ambon,-3.6954,128.1814,89.74,66,40,8.05,ID,1667886216
93,kavieng,-2.5744,150.7967,84.04,69,100,6.15,PG,1667886216
94,san cristobal,7.7669,-72.225,66.38,95,98,2.17,VE,1667886050
95,qaanaaq,77.484,-69.3632,-1.12,97,100,4.65,GL,1667886216
96,busselton,-33.65,115.3333,69.17,56,79,9.98,AU,1667886098
97,hurghada,27.2574,33.8129,68.04,32,0,9.22,EG,1667886103
98,green river,41.5286,-109.4662,50.4,44,100,14.92,US,1667886217
99,hamilton,39.1834,-84.5333,52.65,43,75,13.8,US,1667886217
100,ceres,37.5949,-120.9577,53.55,61,100,6.91,US,1667886217
101,bardiyah,31.7561,25.0865,67.64,67,11,8.19,LY,1667886218
102,bowen,-20.0167,148.2333,78.93,61,0,20.24,AU,1667886218
103,souillac,-20.5167,57.5167,79.18,65,40,10.36,MU,1667886218
104,sao joao da barra,-21.6403,-41.0511,66.33,87,96,7.05,BR,1667886218
105,mantua,45.1667,10.7833,47.35,88,66,1.99,IT,1667886218
106,leshukonskoye,64.8989,45.7622,34.9,99,100,5.17,RU,1667886219
107,zhuhai,22.2769,113.5678,73.18,88,40,12.66,CN,1667886124
108,juba,4.8517,31.5825,80.53,59,100,1.99,SS,1667886010
109,moorpark,34.2856,-118.882,56.01,88,32,1.99,US,1667886220
110,avarua,-21.2078,-159.775,73.45,73,75,6.91,CK,1667886220
111,madimba,-10.4,40.3333,82.02,62,58,8.72,TZ,1667886220
112,zhezkazgan,47.8043,67.7144,28.38,64,100,13.42,KZ,1667886221
113,churapcha,62.0025,132.4325,-3.32,93,100,2.64,RU,1667886221
114,ailigandi,9.2333,-78.0167,73.96,88,100,5.7,PA,1667886221
115,cape town,-33.9258,18.4232,64.11,80,20,4.61,ZA,1667886187
116,fairbanks,64.8378,-147.7164,19.36,81,75,0.0,US,1667886143
117,aklavik,68.2191,-135.0107,3.34,83,100,11.63,CA,1667886222
118,esperance,-33.8667,121.9,62.35,66,100,15.99,AU,1667886222
119,dickinson,29.4608,-95.0513,72.95,93,0,0.0,US,1667886222
120,batemans bay,-35.7167,150.1833,69.1,58,0,12.57,AU,1667886049
121,georgetown,5.4112,100.3354,87.73,75,20,9.22,MY,1667885946
122,manosque,43.8288,5.7869,49.57,78,96,4.59,FR,1667886223
123,narsaq,60.9167,-46.05,26.82,71,100,6.96,GL,1667886223
124,tamboril,19.4854,-70.611,72.37,94,75,0.0,DO,1667886224
125,odienne,9.51,-7.5692,69.1,71,37,1.77,CI,1667886224
126,chapais,49.7834,-74.8492,28.18,82,100,17.05,CA,1667886224
127,kaitangata,-46.2817,169.8464,57.7,74,87,4.05,NZ,1667886224
128,codrington,-38.2667,141.9667,75.9,66,3,7.58,AU,1667886094
129,vic,41.9301,2.2549,58.86,92,90,4.14,ES,1667885957
130,stokmarknes,68.5646,14.9108,39.16,93,20,4.61,NO,1667886225
131,ambovombe,-25.1667,46.0833,83.03,51,15,3.8,MG,1667886225
132,barrow,71.2906,-156.7887,26.62,86,100,24.16,US,1667886225
133,tuktoyaktuk,69.4541,-133.0374,1.4,78,0,12.66,CA,1667886226
134,tilichiki,60.4667,166.1,14.85,89,100,6.96,RU,1667886226
135,bredasdorp,-34.5322,20.0403,64.17,61,82,4.07,ZA,1667886226
136,ossora,59.2353,163.0719,27.5,94,100,2.91,RU,1667886227
137,vila franca do campo,37.7167,-25.4333,61.21,79,100,6.4,PT,1667886228
138,altay,47.8667,88.1167,49.68,34,89,4.41,CN,1667886228
139,puerto madryn,-42.7692,-65.0385,68.56,51,100,10.38,AR,1667886219
140,natal,-5.795,-35.2094,75.42,83,20,4.61,BR,1667886215
141,mega,4.05,38.3,67.03,59,99,12.33,ET,1667886229
142,yarada,17.65,83.2667,86.32,54,20,4.61,IN,1667886229
143,tuatapere,-46.1333,167.6833,64.2,59,48,4.65,NZ,1667886229
144,thompson,55.7435,-97.8558,-11.04,84,40,3.44,CA,1667886229
145,harwich,51.9419,1.2844,58.5,80,100,14.0,GB,1667886230
146,nova olimpia,-14.7972,-57.2881,69.1,41,0,2.46,BR,1667886230
147,correntina,-13.3433,-44.6367,70.65,70,99,1.45,BR,1667886230
148,causapscal,48.3542,-67.227,35.22,61,44,18.48,CA,1667886230
149,roald,62.5833,6.1333,46.76,76,0,10.36,NO,1667886231
150,tshikapa,-6.4167,20.8,70.02,99,100,2.59,CD,1667886231
151,geraldton,-28.7667,114.6,72.01,60,75,16.11,AU,1667886227
152,jamestown,42.097,-79.2353,44.19,74,0,6.91,US,1667886232
153,kampot,10.6167,104.1833,87.85,66,71,7.36,KH,1667886232
154,champerico,14.3,-91.9167,77.56,84,100,5.79,GT,1667886232
155,cherskiy,68.75,161.3,-4.23,99,67,1.41,RU,1667886233
156,sorong,-0.8833,131.25,83.39,73,100,8.59,ID,1667886233
157,burnie,-41.0667,145.9167,70.95,50,16,6.73,AU,1667886217
158,lleida,41.6167,0.6167,54.95,74,0,5.75,ES,1667885939
159,burns lake,54.2331,-125.7533,2.62,56,99,8.77,CA,1667886234
160,jacareacanga,-6.2222,-57.7528,71.96,98,100,0.74,BR,1667886234
161,nikolskoye,59.7035,30.7861,42.69,94,99,10.29,RU,1667886234
162,tommot,58.9564,126.2925,18.41,95,100,1.21,RU,1667886235
163,oranjemund,-28.55,16.4333,62.49,77,39,5.21,NA,1667886235
164,norman wells,65.282,-126.8329,1.44,78,0,9.22,CA,1667886236
165,pavullo nel frignano,44.3315,10.835,48.78,76,67,3.91,IT,1667886236
166,saint george,37.1041,-113.5841,61.39,41,100,10.36,US,1667886058
167,lakatoro,-16.0999,167.4164,81.27,80,43,11.77,VU,1667886236
168,lebu,-37.6167,-73.65,53.35,85,100,10.47,CL,1667886236
169,havelock,34.8791,-76.9013,71.58,90,0,8.05,US,1667886237
170,moree,-29.4667,149.85,76.21,37,43,6.73,AU,1667886237
171,saint-paul-les-dax,43.7272,-1.0516,66.72,86,34,5.75,FR,1667886238
172,hobart,-42.8794,147.3294,79.27,41,0,8.05,AU,1667886210
173,chokurdakh,70.6333,147.9167,-11.9,99,77,9.91,RU,1667886239
174,alofi,-19.0595,-169.9187,73.29,88,10,8.05,NU,1667886125
175,athabasca,54.7169,-113.2854,5.41,95,100,9.98,CA,1667886239
176,hambantota,6.1241,81.1185,80.94,94,75,3.44,LK,1667886239
177,kutum,14.2,24.6667,69.17,23,2,9.37,SD,1667886096
178,mandera,3.9366,41.867,83.01,55,84,9.33,KE,1667886240
179,torbay,47.6666,-52.7314,58.75,96,100,19.57,CA,1667886241
180,asau,46.4333,26.4,40.28,83,100,2.55,RO,1667886241
181,high rock,26.6208,-78.2833,77.02,71,1,24.96,BS,1667886241
182,san jose,37.3394,-121.895,54.07,77,75,11.5,US,1667885944
183,caohai,26.8661,104.2841,56.46,65,86,9.44,CN,1667886242
184,nanortalik,60.1432,-45.2371,28.85,86,100,2.95,GL,1667886242
185,bambous virieux,-20.3428,57.7575,80.22,65,40,10.36,MU,1667886243
186,tiksi,71.6872,128.8694,0.07,89,100,15.64,RU,1667886243
187,semey,50.4111,80.2275,32.22,86,100,4.47,KZ,1667886243
188,hasaki,35.7333,140.8333,68.4,48,0,7.05,JP,1667886033
189,kangar,6.4414,100.1986,91.36,61,86,6.71,MY,1667886244
190,antofagasta,-23.65,-70.4,60.08,85,14,2.21,CL,1667886091
191,lagoa,39.05,-27.9833,62.96,71,100,17.18,PT,1667886244
192,high prairie,55.4334,-116.4858,5.99,94,100,5.82,CA,1667886245
193,san patricio,28.017,-97.5169,76.84,89,3,7.67,US,1667886245
194,ormara,25.2088,64.6357,79.59,61,0,8.19,PK,1667886245
195,turukhansk,65.8167,87.9833,20.1,95,100,6.98,RU,1667886246
196,puerto carreno,6.189,-67.4859,75.65,88,67,3.69,CO,1667886246
197,claresholm,50.0333,-113.5852,1.31,71,43,10.36,CA,1667886246
198,mumford,5.2618,-0.759,78.91,82,82,5.5,GH,1667886247
199,mahebourg,-20.4081,57.7,79.25,65,40,10.36,MU,1667886247
200,mount gambier,-37.8333,140.7667,77.49,47,0,2.46,AU,1667886235
201,georgiyevka,43.0369,74.7114,41.04,93,75,6.71,KZ,1667886247
202,dimona,31.0667,35.0333,61.16,70,8,14.83,IL,1667886248
203,khatanga,71.9667,102.5,7.41,96,100,4.54,RU,1667886248
204,deputatskiy,69.3,139.9,-12.69,95,96,6.29,RU,1667886249
205,garissa,-0.4536,39.6401,82.51,62,93,12.53,KE,1667886249
206,san isidro,-12.1167,-77.05,63.01,83,0,10.36,PE,1667886062
207,vestmannaeyjar,63.4427,-20.2734,45.41,82,100,16.11,IS,1667886249
208,tevaitoa,-16.7833,-151.5,77.85,78,18,9.4,PF,1667886249
209,pangody,65.85,74.4859,22.37,96,100,9.26,RU,1667886051
210,senneterre,48.3835,-77.2328,29.66,72,78,12.53,CA,1667886250
211,okhotsk,59.3833,143.3,6.58,65,5,18.01,RU,1667886250
212,shymkent,42.3,69.6,37.99,93,100,11.18,KZ,1667886250
213,luderitz,-26.6481,15.1594,65.86,73,56,6.98,NA,1667886251
214,paamiut,61.994,-49.6678,16.88,56,100,7.47,GL,1667886251
215,ulladulla,-35.35,150.4667,68.22,61,3,14.03,AU,1667886251
216,adwa,14.1646,38.8955,69.15,44,4,4.68,ET,1667886251
217,gorontalo,0.5412,123.0595,86.16,72,83,2.1,ID,1667886182
218,odweyne,9.4092,45.064,75.74,48,1,8.05,SO,1667886252
219,college,64.8569,-147.8028,19.35,80,75,0.0,US,1667886252
220,qinzhou,21.95,108.6167,84.9,45,12,1.86,CN,1667886252
221,wetzlar,50.55,8.5,51.39,94,63,4.03,DE,1667886253
222,dikson,73.5069,80.5464,5.05,95,99,7.81,RU,1667886253
223,arraial do cabo,-22.9661,-42.0278,66.94,82,100,4.29,BR,1667886205
224,koslan,63.4564,48.8989,34.32,99,100,6.96,RU,1667886254
225,gavrilovka vtoraya,52.877,42.7663,34.79,82,100,7.63,RU,1667886254
226,westport,41.1415,-73.3579,54.82,52,0,12.66,US,1667886255
227,raga,8.4596,25.678,79.45,43,92,2.51,SS,1667886255
228,san jose de rio tinto,14.9333,-85.7,81.97,92,46,3.13,HN,1667886255
229,syracuse,37.0881,15.2792,51.39,75,1,4.0,IT,1667886255
230,mogok,22.9167,96.5,76.5,35,0,3.09,MM,1667886256
231,saskylakh,71.9167,114.0833,-22.94,98,53,5.1,RU,1667886256
232,bengkulu,-3.8004,102.2655,81.97,73,99,6.6,ID,1667886256
233,emerald,-23.5333,148.1667,83.34,38,35,9.84,AU,1667886257
234,guerrero negro,27.9769,-114.0611,64.02,84,27,10.09,MX,1667886257
235,jumla,29.2747,82.1838,61.14,28,0,6.15,NP,1667886257
236,suchedniow,51.0478,20.8292,44.8,92,89,5.82,PL,1667886258
237,mongagua,-24.0931,-46.6208,61.59,85,38,4.94,BR,1667886258
238,anadyr,64.75,177.4833,27.1,92,75,15.66,RU,1667886258
239,san vicente,-26.6167,-54.1333,48.92,94,0,3.27,AR,1667886258
240,barroso,-21.1869,-43.9758,59.11,95,54,5.3,BR,1667886258
241,utiel,39.5667,-1.2,48.67,46,64,4.45,ES,1667886259
242,komsomolskiy,40.4272,71.7189,50.72,66,40,6.91,UZ,1667886102
243,rubtsovsk,51.5,81.25,34.27,59,83,4.92,RU,1667886259
244,pangkalanbuun,-2.6833,111.6167,83.35,67,100,3.6,ID,1667886259
245,kruisfontein,-34.0033,24.7314,63.88,58,17,7.63,ZA,1667886260
246,inhambane,-23.865,35.3833,81.59,70,38,11.36,MZ,1667886260
247,mayo,38.8876,-76.5119,60.91,39,20,4.0,US,1667886094
248,ahipara,-35.1667,173.1667,61.66,87,93,15.46,NZ,1667886261
249,oskarshamn,57.2645,16.4484,49.98,88,98,7.63,SE,1667886020
250,cuajinicuilapa,16.4667,-98.4167,75.97,93,23,2.8,MX,1667886261
251,canico,32.6333,-16.85,69.01,84,20,3.44,PT,1667886261
252,broome,42.2506,-75.833,43.86,72,0,8.05,US,1667886262
253,dingle,10.9995,122.6711,86.38,73,99,9.01,PH,1667886262
254,nabire,-3.3667,135.4833,85.06,72,93,2.44,ID,1667886262
255,enshi,30.3,109.4833,72.09,57,79,0.36,CN,1667886263
256,yantal,56.8471,105.2542,25.38,82,100,10.94,RU,1667886127
257,manbij,36.5281,37.9549,58.71,62,100,15.82,SY,1667886263
258,te anau,-45.4167,167.7167,63.16,57,26,4.41,NZ,1667886264
259,fare,-16.7,-151.0167,78.08,77,13,8.9,PF,1667886264
260,shihezi,44.3,86.0333,51.87,40,26,9.04,CN,1667886246
261,kavaratti,10.5669,72.642,81.86,72,1,7.72,IN,1667886264
262,lerwick,60.1545,-1.1494,53.6,94,100,26.6,GB,1667886265
263,asyut,27.181,31.1837,60.98,47,44,6.38,EG,1667886265
264,espanola,35.9911,-106.0806,55.38,56,17,1.01,US,1667886265
265,rutul,41.5357,47.4239,42.39,34,3,5.68,RU,1667886265
266,andenes,69.3143,16.1194,40.98,70,0,17.27,NO,1667886120
267,taoudenni,22.6783,-3.9836,68.95,21,17,9.13,ML,1667886266
268,takikawa,43.5528,141.9064,50.95,61,60,5.57,JP,1667886266
269,gimli,50.6336,-96.9907,30.22,80,100,14.97,CA,1667886266
270,namibe,-15.1961,12.1522,69.69,69,0,5.46,AO,1667886220
271,magdagachi,53.45,125.8,27.81,74,58,4.09,RU,1667886267
272,yamasaki,35.0,134.55,71.35,49,5,8.43,JP,1667886268
273,portland,45.5234,-122.6762,41.81,93,99,3.0,US,1667886268
274,morgan city,29.6994,-91.2068,71.01,100,0,3.44,US,1667886268
275,sibenik,43.7272,15.9058,51.46,76,8,3.78,HR,1667886036
